Player,Position,TEAM,GP,MIN,PTS,FG%,3P%,FT%,AST,BLK,STL,REB,TOV,Salary
Rodions Kurucs,PF,BKN,39,501,162,44.8,38.5,60.7,33,3,17,97,35,1699236
Cheick Diallo,PF,PHX,44,467,211,65,50,86.5,22,12,10,127,30,1678854
Dragan Bender,PF,MIL,7,91,26,47.6,44.4,66.7,9,5,0,20,5,1678854
Willy Hernangomez,C,CHA,31,375,190,53.2,22.7,62.7,29,7,10,134,30,1676735
Josh Hart,SG,NOP,57,1563,579,41.6,34.2,74.7,94,21,59,370,65,1655160
Derrick Jones Jr.,SF,MIA,51,1249,454,51.4,27,77.9,57,36,54,213,27,1645357
Jordan McRae,SG,WAS,29,654,370,42,37.7,77.1,82,15,19,104,38,1645357
Treveon Graham,SF,MIN,33,663,171,35.4,24.1,73,30,2,17,100,19,1645357
Alec Burks,SG,GSW,48,1390,773,40.6,37.5,89.7,151,17,50,226,76,1620564
Dwight Howard,C,LAL,62,1193,468,73.2,60,49.4,42,76,27,457,73,1620564
Furkan Korkmaz,SG,PHI,64,1398,623,43.2,39.7,73.6,70,15,36,148,52,1620564
J.J. Barea,PG,DAL,26,391,194,41.3,38.2,94.4,99,2,4,48,35,1620564
Jared Dudley,SF,LAL,40,311,58,40,47.1,100,19,3,12,43,6,1620564
Kyle Korver,SG,MIL,50,833,336,42.9,41.5,82.4,61,12,21,104,42,1620564
Michael Carter-Williams,PG,ORL,42,773,302,43.4,29.4,82.8,102,20,45,140,48,1620564
Shaquille Harrison,PG,CHI,43,484,209,46.7,38.1,78,49,19,34,86,19,1620564
Tyson Chandler,C,HOU,26,219,34,77.8,0,46.2,6,8,6,66,8,1620564
Udonis Haslem,PF,MIA,3,21,5,16.7,0,75,1,0,0,8,0,1620564
Vince Carter,SG,ATL,60,876,298,35.2,30.2,79.3,48,25,23,124,33,1620564
Wilson Chandler,SF,BKN,35,734,205,40.4,30.6,87,39,12,16,145,34,1620564
Damyean Dotson,SG,NYK,48,836,321,41.4,36.2,66.7,57,4,23,91,21,1618520
Dillon Brooks,SF,MEM,65,1851,1020,40.2,36.9,80.9,128,25,57,213,108,1618520
Dwayne Bacon,SF,CHA,39,687,224,34.8,28.4,66,52,2,23,100,37,1618520
Frank Jackson,PG,NOP,51,656,285,38.5,32.5,75,41,4,15,71,43,1618520
Sterling Brown,SG,MIL,45,665,223,36.7,31.6,77.1,46,7,22,165,36,1618520
Wes Iwundu,SF,ORL,45,810,237,39.7,31.3,81.6,46,11,25,113,18,1618420
Chris Boucher,PF,TOR,55,724,348,45.8,28.3,79.6,23,53,20,242,23,1588231
Malcolm Miller,SF,TOR,25,125,23,33.3,31.6,16.7,8,2,4,14,3,1588231
Alfonzo McKinnie,SF,CLE,40,593,182,42.7,21.5,71,14,8,23,113,26,1500000
Shake Milton,SG,PHI,32,611,303,49.8,45.3,76.5,71,6,19,68,38,1455697
Thanasis Antetokounmpo,SF,MIL,18,93,45,52.8,0,46.7,9,2,6,19,11,1445697
Wenyen Gabriel,PF,SAC,11,61,19,35.3,12.5,60,3,2,3,10,5,1445697
Alize Johnson,PF,IND,13,54,18,46.7,0,66.7,2,0,0,18,3,1416852
Bruce Brown,SG,DET,58,1634,517,44.3,34.4,73.9,230,29,63,274,100,1416852
Chimezie Metu,PF,SAS,16,73,46,57.1,0,75,6,4,1,26,5,1416852
De'Anthony Melton,PG,MEM,52,1011,420,41.9,31.6,82.1,157,18,65,193,78,1416852
Deonte Burton,PG,OKC,34,284,94,37.1,21.7,50,11,10,5,48,14,1416852
