,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,LEAGUE_ID,MIN,OREB,ORGANIZATION_ID,PF,PLAYER_AGE,PLAYER_ID,PTS,RANK_AST,RANK_BLK,RANK_DREB,RANK_EFF,RANK_FG3A,RANK_FG3M,RANK_FG3_PCT,RANK_FGA,RANK_FGM,RANK_FG_PCT,RANK_FTA,RANK_FTM,RANK_FT_PCT,RANK_MIN,RANK_OREB,RANK_PTS,RANK_REB,RANK_STL,RANK_TOV,REB,SCHOOL_NAME,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TOV,Team_ID,id,full_name,first_name,last_name,is_active
7415,40,8,55,43,15,0.349,119,56,0.471,43,32,0.744,35,1,00,486.0,12,,38,24.0,203957,159,,,,,,,,,,,,,,,,,,,,67,,2019-20,13,TOT,0.0,31,,203957,Dante Exum,Dante,Exum,True
7433,0,2,11,0,0,0.0,12,9,0.75,3,1,0.333,6,0,00,24.0,0,,5,24.0,1629605,19,,,,,,,,,,,,,,,,,,,,11,,2019-20,0,BOS,1610612738.0,3,,1629605,Tacko Fall,Tacko,Fall,True
7491,75,44,298,7,1,0.143,305,189,0.62,62,36,0.581,45,43,00,1089.0,147,,99,28.0,202324,415,,,,,,,,,,,,,,,,,,,,445,,2019-20,25,NOP,1610612740.0,51,,202324,Derrick Favors,Derrick,Favors,True
7526,16,2,47,2,0,0.0,54,34,0.63,23,18,0.783,22,0,00,386.0,55,,34,27.0,1626245,86,,,,,,,,,,,,,,,,,,,,102,,2019-20,10,CHI,1610612741.0,18,,1626245,Cristiano Felicio,Cristiano,Felicio,True
7560,45,16,50,155,46,0.297,199,74,0.372,19,15,0.789,50,37,00,1170.0,23,,144,21.0,1628390,209,,,,,,,,,,,,,,,,,,,,73,,2019-20,26,OKC,1610612760.0,30,,1628390,Terrance Ferguson,Terrance,Ferguson,True
7565,49,17,131,37,5,0.135,199,103,0.518,51,29,0.569,56,13,00,713.0,67,,107,21.0,1628981,240,,,,,,,,,,,,,,,,,,,,198,,2019-20,18,ATL,1610612737.0,42,,1628981,Bruno Fernando,Bruno,Fernando,True
7597,59,4,42,69,19,0.275,169,67,0.396,37,32,0.865,44,0,00,484.0,6,,31,26.0,1627812,185,,,,,,,,,,,,,,,,,,,,48,,2019-20,14,SAC,1610612758.0,25,,1627812,Yogi Ferrell,Yogi,Ferrell,True
7677,97,37,227,265,99,0.374,457,214,0.468,97,70,0.722,64,61,00,1898.0,125,,154,26.0,1627827,597,,,,,,,,,,,,,,,,,,,,352,,2019-20,44,DAL,1610612742.0,63,,1627827,Dorian Finney-Smith,Dorian,Finney-Smith,True
8257,141,65,347,3,1,0.333,443,262,0.591,183,108,0.59,58,58,00,1564.0,196,,111,26.0,203500,633,,,,,,,,,,,,,,,,,,,,543,,2019-20,50,OKC,1610612760.0,86,,203500,Steven Adams,Steven,Adams,True
8273,,,,,,,,,,,,,NR,NR,00,,,,,NR,203500,,106.0,26,23,44.0,438,408,,160.0,108.0,7.0,69.0,100.0,113.0,114.0,5,127.0,15.0,106,103,,,2019-20,,OKC,1610612760.0,,,203500,Steven Adams,Steven,Adams,True
8299,333,85,518,13,1,0.077,719,408,0.567,342,236,0.69,65,65,00,2234.0,165,,164,22.0,1628389,1053,,,,,,,,,,,,,,,,,,,,683,,2019-20,78,MIA,1610612748.0,185,,1628389,Bam Adebayo,Bam,Adebayo,True
8303,1,0,2,0,0,0.0,5,4,0.8,0,0,0.0,1,0,00,12.0,0,,0,22.0,1628389,8,,,,,,,,,,,,,,,,,,,,2,,2019-20,0,GNS,1610616833.0,1,,1628389,Bam Adebayo,Bam,Adebayo,True
8309,,,,,,,,,,,,,NR,NR,00,,,,,NR,1628389,,24.0,12,6,10.0,383,408,,66.0,37.0,12.0,19.0,24.0,101,4.0,12,42.0,7.0,26,15,,,2019-20,,MIA,1610612748.0,,,1628389,Bam Adebayo,Bam,Adebayo,True
8644,129,87,289,157,61,0.389,793,391,0.493,191,158,0.827,53,53,00,1754.0,103,,128,34.0,200746,1001,,,,,,,,,,,,,,,,,,,,392,,2019-20,36,SAS,1610612759.0,74,,200746,LaMarcus Aldridge,LaMarcus,Aldridge,True
8680,,,,,,,,,,,,,NR,NR,00,,,,,NR,200746,,116.0,10,51,41.0,168,154,,48.0,42.0,33.0,63.0,60.0,46.0,77.0,41,53.0,43.0,179,131,,,2019-20,,SAS,1610612759.0,,,200746,LaMarcus Aldridge,LaMarcus,Aldridge,True
8760,74,7,72,117,40,0.342,227,77,0.339,28,17,0.607,41,0,00,501.0,8,,46,21.0,1629638,211,,,,,,,,,,,,,,,,,,,,80,,2019-20,11,NOP,1610612740.0,40,,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
8765,,,,,,,,,,,,,NR,NR,00,,,,,NR,1629638,,211.0,312,317,346.0,215,214,,279.0,316.0,,340.0,357.0,,330.0,394,315.0,337.0,348,253,,,2019-20,,NOP,1610612740.0,,,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
8797,43,1,61,91,33,0.363,176,79,0.449,35,30,0.857,30,0,00,498.0,5,,36,24.0,1628960,221,,,,,,,,,,,,,,,,,,,,66,,2019-20,6,MEM,1610612763.0,23,,1628960,Grayson Allen,Grayson,Allen,True
8807,,,,,,,,,,,,,NR,NR,00,,,,,NR,1628960,,300.0,427,334,327.0,254,237,,316.0,312.0,,315.0,293.0,,332.0,418,306.0,358.0,396,333,,,2019-20,,MEM,1610612763.0,,,1628960,Grayson Allen,Grayson,Allen,True
8811,85,85,410,5,0,0.0,413,267,0.646,237,147,0.62,64,58,00,1647.0,195,,144,21.0,1628386,681,,,,,,,,,,,,,,,,,,,,605,,2019-20,37,BKN,1610612751.0,72,,1628386,Jarrett Allen,Jarrett,Allen,True
8819,,,,,,,,,,,,,NR,NR,00,,,,,NR,1628386,,196.0,12,15,36.0,417,435,,172.0,101.0,3.0,44.0,69.0,111.0,96.0,6,114.0,10.0,175,136,,,2019-20,,BKN,1610612751.0,,,1628386,Jarrett Allen,Jarrett,Allen,True
8830,21,2,7,16,5,0.313,44,19,0.432,11,7,0.636,10,0,00,117.0,2,,7,27.0,1628443,50,,,,,,,,,,,,,,,,,,,,9,,2019-20,5,NYK,1610612752.0,8,,1628443,Kadeem Allen,Kadeem,Allen,True
8834,,,,,,,,,,,,,NR,NR,00,,,,,NR,1628443,,374.0,405,447,425.0,370,360,,414.0,415.0,,402.0,401.0,,425.0,445,418.0,449.0,404,409,,,2019-20,,NYK,1610612752.0,,,1628443,Kadeem Allen,Kadeem,Allen,True
9164,21,8,63,36,9,0.25,86,25,0.291,29,19,0.655,18,2,00,380.0,24,,27,29.0,202329,78,,,,,,,,,,,,,,,,,,,,87,,2019-20,18,ORL,1610612753.0,17,,202329,Al-Farouq Aminu,Al-Farouq,Aminu,True
9184,,,,,,,,,,,,,NR,NR,00,,,,,NR,202329,,374.0,293,330,381.0,333,336,,376.0,400.0,,336.0,346.0,,357.0,261,394.0,329.0,299,364,,,2019-20,,ORL,1610612753.0,,,202329,Al-Farouq Aminu,Al-Farouq,Aminu,True
9451,0,1,2,3,0,0.0,6,1,0.167,2,1,0.5,3,0,00,17.0,0,,2,26.0,1626147,3,,,,,,,,,,,,,,,,,,,,2,,2019-20,0,BKN,1610612751.0,0,,1626147,Justin Anderson,Justin,Anderson,True
9464,,,,,,,,,,,,,NR,NR,00,,,,,NR,1626147,,494.0,427,480,498.0,438,435,,480.0,480.0,,456.0,466.0,,486.0,474,488.0,484.0,477,488,,,2019-20,,BKN,1610612751.0,,,1626147,Justin Anderson,Justin,Anderson,True
9527,132,31,203,62,16,0.258,280,138,0.493,66,43,0.652,59,20,00,1140.0,54,,85,26.0,203937,335,,,,,,,,,,,,,,,,,,,,257,,2019-20,46,MEM,1610612763.0,55,,203937,Kyle Anderson,Kyle,Anderson,True
9541,,,,,,,,,,,,,NR,NR,00,,,,,NR,203937,,112.0,96,122,186.0,300,305,,243.0,233.0,,228.0,241.0,,200.0,126,251.0,127.0,120,188,,,2019-20,,MEM,1610612763.0,,,203937,Kyle Anderson,Kyle,Anderson,True
9673,2,0,7,5,1,0.2,7,2,0.286,0,0,0.0,2,0,00,14.0,0,,1,31.0,201583,5,,,,,,,,,,,,,,,,,,,,7,,2019-20,1,HOU,1610612745.0,1,,201583,Ryan Anderson,Ryan,Anderson,True
9696,,,,,,,,,,,,,NR,NR,00,,,,,NR,201583,,458.0,461,447,464.0,417,408,,474.0,474.0,,482.0,477.0,,492.0,474,476.0,455.0,451,475,,,2019-20,,HOU,1610612745.0,,,201583,Ryan Anderson,Ryan,Anderson,True
9813,329,58,653,271,83,0.306,1139,623,0.547,570,361,0.633,57,57,00,1763.0,130,,173,25.0,203507,1690,,,,,,,,,,,,,,,,,,,,783,,2019-20,59,MIL,1610612749.0,209,,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
9823,4,3,7,4,1,0.25,21,12,0.571,2,0,0.0,1,1,00,31.0,4,,4,25.0,203507,25,,,,,,,,,,,,,,,,,,,,11,,2019-20,1,GNS,1610616833.0,1,,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
9831,,,,,,,,,,,,,NR,NR,00,,,,,NR,203507,,27.0,30,1,1.0,86,103,144.0,10.0,1.0,15.0,2.0,9.0,107,72.0,22,4.0,4.0,63,7,,,2019-20,,MIL,1610612749.0,,,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
9837,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,3,0,00,5.0,0,,0,22.0,1628961,0,,,,,,,,,,,,,,,,,,,,1,,2019-20,0,LAL,1610612747.0,0,,1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,True
9842,,,,,,,,,,,,,NR,NR,00,,,,,NR,1628961,,476.0,461,493,493.0,486,435,,510.0,497.0,,482.0,477.0,,507.0,474,501.0,495.0,477,488,,,2019-20,,LAL,1610612747.0,,,1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,True
9844,9,2,8,7,0,0.0,36,19,0.528,15,7,0.467,18,2,00,93.0,11,,13,27.0,203648,45,,,,,,,,,,,,,,,,,,,,19,,2019-20,6,MIL,1610612749.0,11,,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
9847,,,,,,,,,,,,,NR,NR,00,,,,,NR,203648,,414.0,405,443,427.0,403,435,,418.0,415.0,,384.0,401.0,,432.0,359,420.0,426.0,396,394,,,2019-20,,MIL,1610612749.0,,,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
9866,79,23,252,194,72,0.371,679,289,0.426,134,113,0.843,50,50,00,1623.0,61,,142,35.0,2546,763,,,,,,,,,,,,,,,,,,,,313,,2019-20,40,POR,1610612757.0,87,,2546,Carmelo Anthony,Carmelo,Anthony,True
9909,,,,,,,,,,,,,NR,NR,00,,,,,NR,2546,,200.0,136,75,142.0,141,132,78.0,76.0,84.0,104.0,107.0,92.0,37.0,102.0,95,95.0,82.0,151,100,,,2019-20,,POR,1610612757.0,,,2546,Carmelo Anthony,Carmelo,Anthony,True
10014,99,42,267,215,82,0.381,527,267,0.507,86,59,0.686,63,62,00,1897.0,74,,155,22.0,1628384,675,,,,,,,,,,,,,,,,,,,,341,,2019-20,88,TOR,1610612761.0,75,,1628384,OG Anunoby,OG,Anunoby,True
10023,,,,,,,,,,,,,NR,NR,00,,,,,NR,1628384,,162.0,58,62,87.0,119,106,56.0,124.0,101.0,26.0,179.0,201.0,,47.0,76,116.0,69.0,14,125,,,2019-20,,TOR,1610612761.0,,,1628384,OG Anunoby,OG,Anunoby,True
10101,96,3,90,138,54,0.391,220,90,0.409,38,27,0.711,58,4,00,930.0,20,,96,25.0,1627853,261,,,,,,,,,,,,,,,,,,,,110,,2019-20,27,CHI,1610612741.0,37,,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True
10105,,,,,,,,,,,,,NR,NR,00,,,,,NR,1627853,,170.0,390,288,281.0,190,173,,282.0,292.0,,303.0,307.0,,243.0,295,282.0,292.0,231,266,,,2019-20,,CHI,1610612741.0,,,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True
10182,50,7,125,122,43,0.352,165,64,0.388,27,21,0.778,32,0,00,791.0,21,,63,34.0,2772,192,,,,,,,,,,,,,,,,,,,,146,,2019-20,35,SAC,1610612758.0,28,,2772,Trevor Ariza,Trevor,Ariza,True
10183,41,8,87,85,34,0.4,159,78,0.491,47,41,0.872,21,21,00,702.0,13,,48,34.0,2772,231,,,,,,,,,,,,,,,,,,,,100,,2019-20,34,POR,1610612757.0,28,,2772,Trevor Ariza,Trevor,Ariza,True
10184,91,15,212,207,77,0.372,324,142,0.438,74,62,0.838,53,21,00,1492.0,34,,111,34.0,2772,423,,,,,,,,,,,,,,,,,,,,246,,2019-20,69,TOT,0.0,56,,2772,Trevor Ariza,Trevor,Ariza,True
10213,,,,,,,,,,,,,NR,NR,00,,,,,NR,2772,,184.0,207,115,181.0,126,118,77.0,212.0,227.0,,207.0,188.0,,130.0,199,208.0,139.0,43,187,,,2019-20,,POR,1610612757.0,,,2772,Trevor Ariza,Trevor,Ariza,True
10769,223,1,91,174,60,0.345,397,156,0.393,157,139,0.885,49,6,00,1215.0,18,,53,32.0,201571,511,,,,,,,,,,,,,,,,,,,,109,,2019-20,30,ORL,1610612753.0,69,,201571,D.J. Augustin,D.J.,Augustin,True
10790,,,,,,,,,,,,,NR,NR,00,,,,,NR,201571,,59.0,427,284,203.0,155,157,,182.0,211.0,,87.0,74.0,13.0,185.0,310,174.0,293.0,215,147,,,2019-20,,ORL,1610612753.0,,,201571,D.J. Augustin,D.J.,Augustin,True
10957,57,51,237,3,0,0.0,465,255,0.548,78,60,0.769,30,25,00,996.0,123,,97,21.0,1629028,570,,,,,,,,,,,,,,,,,,,,360,,2019-20,22,PHX,1610612756.0,71,,1629028,Deandre Ayton,Deandre,Ayton,True
