,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,LEAGUE_ID,MIN,OREB,ORGANIZATION_ID,PF,PLAYER_AGE,PLAYER_ID,PTS,RANK_AST,RANK_BLK,RANK_DREB,RANK_EFF,RANK_FG3A,RANK_FG3M,RANK_FG3_PCT,RANK_FGA,RANK_FGM,RANK_FG_PCT,RANK_FTA,RANK_FTM,RANK_FT_PCT,RANK_MIN,RANK_OREB,RANK_PTS,RANK_REB,RANK_STL,RANK_TOV,REB,SCHOOL_NAME,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TOV,Team_ID,id,full_name,first_name,last_name,is_active
22979,,,,,,,,,,,,,NR,NR,00,,,,,NR,203459,,334.0,364,325,357.0,212,227,,315.0,339.0,,386.0,383.0,,305.0,359,342.0,341.0,315,364,,,2019-20,,MIN,1610612750.0,,,203459,Allen Crabbe,Allen,Crabbe,True
22985,34,32,108,109,36,0.33,208,96,0.462,31,20,0.645,50,19,00,869.0,48,,112,29.0,1628470,248,,,,,,,,,,,,,,,,,,,,156,,2019-20,18,DEN,1610612743.0,22,,1628470,Torrey Craig,Torrey,Craig,True
22991,,,,,,,,,,,,,NR,NR,00,,,,,NR,1628470,,331.0,91,251,272.0,230,227,,292.0,284.0,,327.0,340.0,,262.0,151,286.0,231.0,299,337,,,2019-20,,DEN,1610612743.0,,,1628470,Torrey Craig,Torrey,Craig,True
23346,125,14,237,266,78,0.293,399,147,0.368,95,75,0.789,45,45,00,1322.0,40,,85,29.0,203109,447,,,,,,,,,,,,,,,,,,,,277,,2019-20,47,MEM,1610612763.0,54,,203109,Jae Crowder,Jae,Crowder,True
23347,26,7,68,89,35,0.393,114,50,0.439,26,20,0.769,13,1,00,373.0,8,,41,29.0,203109,155,,,,,,,,,,,,,,,,,,,,76,,2019-20,20,MIA,1610612748.0,8,,203109,Jae Crowder,Jae,Crowder,True
23348,151,21,305,355,113,0.318,513,197,0.384,121,95,0.785,58,46,00,1695.0,48,,126,29.0,203109,602,,,,,,,,,,,,,,,,,,,,353,,2019-20,67,TOT,0.0,62,,203109,Jae Crowder,Jae,Crowder,True
23367,,,,,,,,,,,,,NR,NR,00,,,,,NR,203109,,100.0,151,38,114.0,39,64,140.0,131.0,169.0,,122.0,119.0,,89.0,151,139.0,62.0,46,168,,,2019-20,,MIA,1610612748.0,,,203109,Jae Crowder,Jae,Crowder,True
23374,110,38,142,221,66,0.299,569,230,0.404,117,54,0.462,63,35,00,1506.0,70,,125,21.0,1629633,580,,,,,,,,,,,,,,,,,,,,212,,2019-20,57,MIN,1610612750.0,81,,1629633,Jarrett Culver,Jarrett,Culver,True
23379,,,,,,,,,,,,,NR,NR,00,,,,,NR,1629633,,142.0,73,196,219.0,114,143,146,113.0,133.0,,128.0,214.0,,128.0,80,149.0,171.0,71,112,,,2019-20,,MIN,1610612750.0,,,1629633,Jarrett Culver,Jarrett,Culver,True
23813,119,8,113,300,136,0.453,532,266,0.5,88,74,0.841,59,20,00,1448.0,26,,101,29.0,203552,742,,,,,,,,,,,,,,,,,,,,139,,2019-20,36,DAL,1610612742.0,60,,203552,Seth Curry,Seth,Curry,True
23827,,,,,,,,,,,,,NR,NR,00,,,,,NR,203552,,129.0,293,244,146.0,67,34,2.0,122.0,103.0,29.0,176.0,155.0,,138.0,248,98.0,253.0,179,174,,,2019-20,,DAL,1610612742.0,,,203552,Seth Curry,Seth,Curry,True
23839,33,2,22,49,12,0.245,82,33,0.402,26,26,1.0,5,5,00,139.0,4,,11,32.0,201939,104,,,,,,,,,,,,,,,,,,,,26,,2019-20,5,GSW,1610612744.0,16,,201939,Stephen Curry,Stephen,Curry,True
23870,,,,,,,,,,,,,NR,NR,00,,,,,NR,201939,,334.0,405,413,393.0,313,327,,378.0,387.0,,350.0,314.0,,419.0,425,375.0,417.0,404,369,,,2019-20,,GSW,1610612744.0,,,201939,Stephen Curry,Stephen,Curry,True
24199,14,3,34,112,40,0.357,158,62,0.392,16,10,0.625,41,0,00,456.0,12,,30,28.0,203584,174,,,,,,,,,,,,,,,,,,,,46,,2019-20,8,LAL,1610612747.0,9,,203584,Troy Daniels,Troy,Daniels,True
24200,0,0,0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,00,1.0,0,,0,28.0,203584,0,,,,,,,,,,,,,,,,,,,,0,,2019-20,0,DEN,1610612743.0,0,,203584,Troy Daniels,Troy,Daniels,True
24201,14,3,34,113,40,0.354,159,62,0.39,16,10,0.625,42,0,00,457.0,12,,30,28.0,203584,174,,,,,,,,,,,,,,,,,,,,46,,2019-20,8,TOT,0.0,9,,203584,Troy Daniels,Troy,Daniels,True
24218,,,,,,,,,,,,,NR,NR,00,,,,,NR,203584,,396.0,390,390,375.0,223,214,,333.0,341.0,,382.0,383.0,,343.0,353,341.0,385.0,373,405,,,2019-20,,DEN,1610612743.0,,,203584,Troy Daniels,Troy,Daniels,True
24420,172,134,393,194,65,0.335,994,508,0.511,457,386,0.845,55,55,00,1889.0,124,,138,27.0,203076,1467,,,,,,,,,,,,,,,,,,,,517,,2019-20,82,LAL,1610612747.0,135,,203076,Anthony Davis,Anthony,Davis,True
24430,1,3,7,6,1,0.167,16,9,0.563,2,1,0.5,1,1,00,20.0,2,,3,27.0,203076,20,,,,,,,,,,,,,,,,,,,,9,,2019-20,3,LBN,1610616834.0,1,,203076,Anthony Davis,Anthony,Davis,True
24441,,,,,,,,,,,,,NR,NR,00,,,,,NR,203076,,87.0,3,18,6.0,141,146,130.0,22.0,15.0,24,6.0,6.0,35,48.0,26,11.0,18.0,21,40,,,2019-20,,LAL,1610612747.0,,,203076,Anthony Davis,Anthony,Davis,True
24759,8,9,66,0,0,0.0,34,14,0.412,11,5,0.455,25,0,00,268.0,29,,55,30.0,202334,33,,,,,,,,,,,,,,,,,,,,95,,2019-20,10,UTA,1610612762.0,13,,202334,Ed Davis,Ed,Davis,True
